row,payload,status,error
28,"{'batch_id': 70, 'measure_unit_id': 2, 'name': 'CERA. 42X42 ESPARTA BLANCO BRILLO BOLD', 'code': 'CERAESBFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
29,"{'batch_id': 16, 'measure_unit_id': 2, 'name': 'CERA. 54X54 FAMA BR TEXTURADO', 'code': 'CERAFABBRAS01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
30,"{'batch_id': 22, 'measure_unit_id': 2, 'name': 'CERA. 60X60 FAMA CIMENTO EXTERIOR', 'code': 'CERAFACLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
31,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 FOREST TEXTURADO', 'code': 'CERAFOTLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
32,"{'batch_id': 68, 'measure_unit_id': 2, 'name': 'CERA. 40X40 GEODUNAS GRIS BRILLO', 'code': 'CERAGEGFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
33,"{'batch_id': 70, 'measure_unit_id': 2, 'name': 'CERA. 42X42 GRANADA BEIGE BRILLO BOLD', 'code': 'CERAGRBFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
34,"{'batch_id': 70, 'measure_unit_id': 2, 'name': 'CERA. 42X42 GRANIZO VERDE BRILLO BOLD', 'code': 'CERAGRVFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
35,"{'batch_id': 15, 'measure_unit_id': 2, 'name': 'CERA. 45X45 45710 IMPERIUM DIAMANTE BRILLO ', 'code': 'CERAIMDCRIS01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
36,"{'batch_id': 5, 'measure_unit_id': 2, 'name': 'CERA. 20X60 IPE RUSTICO', 'code': 'CERAIPTANGE01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
37,"{'batch_id': 15, 'measure_unit_id': 2, 'name': 'CERA. 45X45 45710 IMPERIUM BRILLO BOLD', 'code': 'CERAISBBRAS01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
